Date & Time	S3O_antigrandine_Barometer - mb	S3O_antigrandine_Temp - °C	S3O_antigrandine_High Temp - °C	S3O_antigrandine_Low Temp - °C	S3O_antigrandine_Hum - %	S3O_antigrandine_Dew Point - °C	S3O_antigrandine_Wet Bulb - °C	S3O_antigrandine_Wind Speed - m/s	S3O_antigrandine_Wind Direction	S3O_antigrandine_Wind Run - m	S3O_antigrandine_High Wind Speed - m/s	S3O_antigrandine_High Wind Direction	S3O_antigrandine_Wind Chill - °C	S3O_antigrandine_Heat Index - °C	S3O_antigrandine_THW Index - °C	S3O_antigrandine_THSW Index - °C	S3O_antigrandine_Rain - mm	S3O_antigrandine_Rain Rate - mm/h	S3O_antigrandine_Solar Rad - W/m^2	S3O_antigrandine_Solar Energy - Ly	S3O_antigrandine_High Solar Rad - W/m^2	S3O_antigrandine_ET - mm	S3O_ombreggiante_Date & Time	S3O_ombreggiante_Barometer - mb	S3O_ombreggiante_Temp - °C	S3O_ombreggiante_High Temp - °C	S3O_ombreggiante_Low Temp - °C	S3O_ombreggiante_Hum - %	S3O_ombreggiante_Dew Point - °C	S3O_ombreggiante_Wet Bulb - °C	S3O_ombreggiante_Wind Speed - m/s	S3O_ombreggiante_Wind Direction	S3O_ombreggiante_Wind Run - m	S3O_ombreggiante_High Wind Speed - m/s	S3O_ombreggiante_High Wind Direction	S3O_ombreggiante_Wind Chill - °C	S3O_ombreggiante_Heat Index - °C	S3O_ombreggiante_THW Index - °C	S3O_ombreggiante_THSW Index - °C	S3O_ombreggiante_Rain - mm	S3O_ombreggiante_Rain Rate - mm/h	S3O_ombreggiante_Solar Rad - W/m^2	S3O_ombreggiante_Solar Energy - Ly	S3O_ombreggiante_High Solar Rad - W/m^2	S3O_ombreggiante_ET - mm
01/06/2020 00:00	1020.6	13.9	14.4	13.4	84	11.3	12.3	0		0	0		13.9	13.8	13.8	12.2	0	0	0	0	0	0.03	43983	1020.8	14.4	14.7	14	77	10.4	11.9	0		0	0		14.4	14.1	14.1	12.8	0	0	0	0	0	0.03
01/06/2020 01:00	1020.9	12.7	13.4	12.1	89	11	11.7	0		0	0		12.7	12.7	12.7	11.1	0	0	0	0	0	0	43983.04167	1021.1	13.5	14.1	12.8	82	10.5	11.6	0		0	0		13.5	13.4	13.4	11.7	0	0	0	0	0	0.03
01/06/2020 02:00	1021.2	11.7	12.1	11.3	91	10.3	10.9	0		0	0		11.7	11.8	11.8	10.6	0	0	0	0	0	0	43983.08333	1021.5	12.4	12.8	12	87	10.3	11.1	0		0	0		12.4	12.4	12.4	11.1	0	0	0	0	0	0
01/06/2020 03:00	1021.2	11.4	11.6	11.3	93	10.4	10.8	0		0	0		11.4	11.6	11.6	10.6	0	0	0	0	0	0	43983.125	1021.8	12	12.1	11.9	90	10.4	11.1	0		0	0		12	12.1	12.1	11.1	0	0	0	0	0	0
01/06/2020 04:00	1021.2	11.8	12	11.5	94	10.8	11.2	0		0	0		11.8	11.9	11.9	11.1	0	0	0	0	0	0	43983.16667	1021.5	12.1	12.2	11.9	92	10.8	11.3	0		0	0		12.1	12.2	12.2	11.1	0	0	0	0	0	0
01/06/2020 05:00	1021.3	11.9	12	11.8	94	11	11.3	0		0	0		11.9	12	12	10.6	0	0	0	0	0	0	43983.20833	1021.7	12.1	12.2	11.9	92	10.8	11.3	0		0	0		12.1	12.2	12.2	11.1	0	0	0	0	0	0
01/06/2020 06:00	1021.8	11.5	11.8	11.2	93	10.4	10.9	0		0	0		11.5	11.6	11.6	10	0	0	3	0.26	11	0	43983.25	1021.9	11.7	12	11.3	92	10.4	10.9	0		0	0		11.7	11.8	11.8	10.6	0	0	3	0.26	14	0
01/06/2020 07:00	1022	11.6	12.8	11.1	96	10.9	11.2	0		0	0		11.6	11.8	11.8	12.8	0	0	27	2.32	69	0.03	43983.29167	1022	11.9	13	11.3	92	10.6	11.1	0		0	0		11.9	12	12	12.8	0	0	41	3.53	95	0.03
01/06/2020 08:00	1022.1	14.8	17.6	12.8	80	11.4	12.6	0		0	0.4	ESE	14.8	14.6	14.6	19.4	0	0	131	11.27	227	0.08	43983.33333	1022.3	14.9	17.2	13	80	11.5	12.8	0		0	0		14.9	14.8	14.8	17.8	0	0	150	12.91	221	0.08
01/06/2020 09:00	1022.2	19.6	20.4	17.6	65	12.8	14.9	0		0	0.4	ESE	19.6	19.5	19.5	23.3	0	0	282	24.26	306	0.15	43983.375	1022.4	19.1	20.3	17.2	69	13.2	15.1	0		0	0		19.1	19	19	22.2	0	0	155	13.34	185	0.1
