Data;par_wm2
01/06/2020 00:02;0.00
01/06/2020 01:02;0.00
01/06/2020 02:02;0.00
01/06/2020 03:02;0.00
01/06/2020 04:02;0.00
01/06/2020 05:02;1.75
01/06/2020 06:02;76.72
01/06/2020 07:02;237.88
01/06/2020 08:02;412.45
01/06/2020 09:02;576.88
01/06/2020 10:02;716.73
01/06/2020 11:02;820.70
01/06/2020 12:02;889.50
01/06/2020 13:02;901.38
01/06/2020 14:02;889.47
01/06/2020 15:02;707.92
01/06/2020 16:02;559.52
01/06/2020 17:02;412.23
01/06/2020 18:02;346.25
01/06/2020 19:02;170.18
01/06/2020 20:02;25.07
01/06/2020 21:02;0.00
01/06/2020 22:02;0.00
01/06/2020 23:02;0.00
02/06/2020 00:02;0.00
02/06/2020 01:02;0.00
02/06/2020 02:02;0.00
02/06/2020 03:02;0.00
02/06/2020 04:02;0.00
02/06/2020 05:02;1.75
02/06/2020 06:02;61.35
02/06/2020 07:02;179.15
02/06/2020 08:02;403.00
02/06/2020 09:02;511.58
02/06/2020 10:02;843.12
02/06/2020 11:02;794.55
02/06/2020 12:02;871.50
02/06/2020 13:02;800.47
02/06/2020 14:02;847.52
02/06/2020 15:02;840.25
02/06/2020 16:02;670.55
02/06/2020 17:02;502.37
02/06/2020 18:02;300.75
02/06/2020 19:02;76.30
02/06/2020 20:02;6.15
02/06/2020 21:02;0.00
02/06/2020 22:02;0.00
02/06/2020 23:02;0.00
03/06/2020 00:02;0.00
03/06/2020 01:02;0.00
03/06/2020 02:02;0.00
03/06/2020 03:02;0.00
03/06/2020 04:02;0.00
03/06/2020 05:02;1.33
03/06/2020 06:02;58.93
03/06/2020 07:02;231.72
03/06/2020 08:02;404.55
03/06/2020 09:02;557.75
03/06/2020 10:02;671.23
03/06/2020 11:02;793.68
03/06/2020 12:02;851.92
03/06/2020 13:02;845.75
03/06/2020 14:02;746.83
03/06/2020 15:02;170.42
03/06/2020 16:02;187.32
03/06/2020 17:02;134.55
03/06/2020 18:02;301.85
03/06/2020 19:02;122.45
03/06/2020 20:02;9.87
03/06/2020 21:02;0.00
03/06/2020 22:02;0.00
03/06/2020 23:02;0.00
04/06/2020 00:02;0.00
04/06/2020 01:02;0.00
04/06/2020 02:02;0.00
04/06/2020 03:02;0.00
04/06/2020 04:02;0.00
04/06/2020 05:02;3.30
04/06/2020 06:02;42.87
04/06/2020 07:02;36.50
04/06/2020 08:02;73.00
04/06/2020 09:02;71.25
04/06/2020 10:02;83.98
04/06/2020 11:02;134.12
04/06/2020 12:02;143.33
04/06/2020 13:02;71.00
04/06/2020 14:02;95.63
04/06/2020 15:02;102.67
04/06/2020 16:02;133.03
04/06/2020 17:02;58.47
04/06/2020 18:02;43.55
04/06/2020 19:02;6.60
04/06/2020 20:02;0.00
04/06/2020 21:02;0.00
04/06/2020 22:02;0.00
04/06/2020 23:02;0.00
05/06/2020 00:02;0.00
05/06/2020 01:02;0.00
05/06/2020 02:02;0.00
05/06/2020 03:02;0.00
05/06/2020 04:02;0.00
05/06/2020 05:02;1.75
05/06/2020 06:02;31.43
05/06/2020 07:02;120.25
05/06/2020 08:02;265.58
05/06/2020 09:02;417.50
05/06/2020 10:02;433.55
05/06/2020 11:02;875.65
05/06/2020 12:02;847.75
05/06/2020 13:02;896.97
05/06/2020 14:02;616.65
05/06/2020 15:02;733.20
05/06/2020 16:02;239.23
05/06/2020 17:02;570.95
05/06/2020 18:02;354.65
05/06/2020 19:02;187.07
05/06/2020 20:02;31.42
05/06/2020 21:02;0.00
05/06/2020 22:02;0.00
05/06/2020 23:02;0.00
06/06/2020 00:02;0.00
06/06/2020 01:02;0.00
06/06/2020 02:02;0.00
06/06/2020 03:02;0.00
06/06/2020 04:02;0.00
06/06/2020 05:02;1.75
06/06/2020 06:02;78.72
06/06/2020 07:02;241.40
06/06/2020 08:02;409.80
06/06/2020 09:02;567.42
06/06/2020 10:02;703.05
06/06/2020 11:02;805.30
06/06/2020 12:02;871.92
06/06/2020 13:02;886.88
06/06/2020 14:02;518.17
06/06/2020 15:02;557.10
06/06/2020 16:02;731.45
06/06/2020 17:02;514.68
06/06/2020 18:02;349.82
06/06/2020 19:02;170.38
06/06/2020 20:02;14.08
06/06/2020 21:02;0.00
06/06/2020 22:02;0.00
06/06/2020 23:02;0.00
07/06/2020 00:02;0.00
07/06/2020 01:02;0.00
07/06/2020 02:02;0.00
07/06/2020 03:02;0.00
07/06/2020 04:02;0.00
07/06/2020 05:02;4.18
07/06/2020 06:02;64.88
07/06/2020 07:02;249.30
07/06/2020 08:02;408.05
07/06/2020 09:02;570.27
07/06/2020 10:02;559.27
07/06/2020 11:02;659.80
07/06/2020 12:02;779.15
07/06/2020 13:02;789.70
07/06/2020 14:02;667.22
07/06/2020 15:02;645.70
07/06/2020 16:02;614.25
07/06/2020 17:02;259.88
07/06/2020 18:02;131.02
07/06/2020 19:02;65.92
07/06/2020 20:02;5.50
07/06/2020 21:02;0.00
07/06/2020 22:02;0.00
07/06/2020 23:02;0.00
08/06/2020 00:02;0.00
08/06/2020 01:02;0.00
08/06/2020 02:02;0.00
08/06/2020 03:02;0.00
08/06/2020 04:02;0.00
08/06/2020 05:02;4.40
08/06/2020 06:02;67.72
08/06/2020 07:02;56.08
08/06/2020 08:02;157.88
08/06/2020 09:02;246.45
08/06/2020 10:02;302.53
08/06/2020 11:02;412.42
08/06/2020 12:02;368.03
08/06/2020 13:02;297.25
08/06/2020 14:02;380.32
08/06/2020 15:02;686.15
08/06/2020 16:02;602.83
08/06/2020 17:02;412.45
08/06/2020 18:02;121.38
08/06/2020 19:02;0.88
08/06/2020 20:02;0.00
08/06/2020 21:02;0.00
08/06/2020 22:02;0.00
08/06/2020 23:02;0.00
09/06/2020 00:02;0.00
09/06/2020 01:02;0.00
09/06/2020 02:02;0.00
09/06/2020 03:02;0.00
09/06/2020 04:02;0.00
09/06/2020 05:02;4.85
09/06/2020 06:02;105.10
09/06/2020 07:02;194.13
09/06/2020 08:02;261.17
09/06/2020 09:02;293.05
09/06/2020 10:02;835.20
09/06/2020 11:02;860.25
09/06/2020 12:02;886.65
09/06/2020 13:02;727.25
09/06/2020 14:02;435.98
09/06/2020 15:02;636.90
09/06/2020 16:02;346.92
09/06/2020 17:02;109.50
09/06/2020 18:02;27.47
09/06/2020 19:02;34.08
09/06/2020 20:02;3.53
09/06/2020 21:02;0.00
09/06/2020 22:02;0.00
09/06/2020 23:02;0.00
10/06/2020 00:02;0.00
10/06/2020 01:02;0.00
